direction;seconds;speak
0;0.02;0
0;0.04;0
0;0.06;0
0;0.08;0
0;0.10;0
0;0.12;0
0;0.14;0
0;0.16;0
0;0.18;0
0;0.20;0
0;0.22;0
0;0.24;0
0;0.26;0
0;0.28;0
0;0.30;0
0;0.32;0
0;0.34;0
0;0.36;0
0;0.38;0
0;0.40;0
0;0.42;0
0;0.44;0
0;0.46;0
0;0.48;0
0;0.50;0
0;0.52;0
0;0.54;0
0;0.56;0
0;0.58;0
0;0.60;0
0;0.62;0
0;0.64;0
0;0.66;0
0;0.68;0
0;0.70;0
0;0.72;0
0;0.74;0
0;0.76;0
0;0.78;0
0;0.80;0
0;0.82;0
0;0.84;0
0;0.86;0
0;0.88;0
0;0.90;0
0;0.92;0
0;0.94;0
0;0.96;0
0;0.98;0
0;1.00;0
0;1.02;0
0;1.04;0
0;1.06;0
0;1.08;0
0;1.10;0
0;1.12;0
0;1.14;0
0;1.16;0
0;1.18;0
0;1.20;0
0;1.22;0
0;1.24;1
0;1.26;1
0;1.28;1
0;1.30;1
0;1.32;1
0;1.34;1
0;1.36;1
0;1.38;1
0;1.40;1
0;1.42;1
0;1.44;1
0;1.46;1
0;1.48;1
0;1.50;1
0;1.52;1
0;1.54;1
0;1.56;1
0;1.58;1
0;1.60;1
0;1.62;1
0;1.64;1
0;1.66;1
0;1.68;1
0;1.70;1
0;1.72;1
0;1.74;1
0;1.76;1
0;1.78;1
0;1.80;1
0;1.82;1
0;1.84;1
0;1.86;1
0;1.88;1
0;1.90;1
0;1.92;1
0;1.94;1
0;1.96;1
0;1.98;1
0;2.00;1
0;2.02;1
0;2.04;1
0;2.06;1
0;2.08;1
0;2.10;1
0;2.12;1
0;2.14;1
0;2.16;1
0;2.18;1
0;2.20;1
0;2.22;1
0;2.24;1
0;2.26;1
0;2.28;1
0;2.30;1
0;2.32;1
0;2.34;1
0;2.36;1
0;2.38;1
0;2.40;1
0;2.42;1
0;2.44;1
0;2.46;1
0;2.48;1
0;2.50;1
0;2.52;1
0;2.54;1
0;2.56;1
0;2.58;1
0;2.60;1
0;2.62;1
0;2.64;1
0;2.66;1
0;2.68;1
0;2.70;1
0;2.72;1
0;2.74;1
0;2.76;1
0;2.78;1
0;2.80;1
0;2.82;1
0;2.84;1
0;2.86;1
0;2.88;1
0;2.90;1
0;2.92;1
0;2.94;1
0;2.96;1
0;2.98;1
0;3.00;1
0;3.02;1
0;3.04;1
0;3.06;1
0;3.08;1
0;3.10;1
0;3.12;1
0;3.14;1
0;3.16;1
0;3.18;1
0;3.20;1
0;3.22;1
0;3.24;1
0;3.26;0
0;3.28;0
0;3.30;1
0;3.32;1
0;3.34;1
0;3.36;1
0;3.38;1
0;3.40;1
0;3.42;1
0;3.44;1
0;3.46;1
0;3.48;1
0;3.50;1
0;3.52;1
0;3.54;0
0;3.56;0
0;3.58;0
0;3.60;0
0;3.62;0
0;3.64;0
0;3.66;0
0;3.68;0
0;3.70;0
0;3.72;0
0;3.74;0
0;3.76;0
0;3.78;0
0;3.80;0
0;3.82;0
0;3.84;0
0;3.86;0
0;3.88;1
0;3.90;1
0;3.92;1
0;3.94;1
0;3.96;1
0;3.98;1
0;4.00;1
0;4.02;1
0;4.04;1
0;4.06;1
0;4.08;1
0;4.10;1
0;4.12;1
0;4.14;1
0;4.16;1
0;4.18;1
0;4.20;1
0;4.22;1
0;4.24;1
0;4.26;1
0;4.28;1
0;4.30;1
0;4.32;1
0;4.34;1
0;4.36;1
0;4.38;1
0;4.40;1
0;4.42;0
0;4.44;0
0;4.46;0
0;4.48;0
0;4.50;0
0;4.52;0
0;4.54;0
0;4.56;0
0;4.58;0
0;4.60;0
0;4.62;0
0;4.64;0
0;4.66;0
0;4.68;0
0;4.70;0
0;4.72;0
0;4.74;0
0;4.76;0
0;4.78;0
0;4.80;0
0;4.82;0
0;4.84;0
0;4.86;0
0;4.88;0
0;4.90;0
0;4.92;0
0;4.94;0
0;4.96;0
0;4.98;0
0;5.00;0
0;5.02;0
0;5.04;0
0;5.06;0
0;5.08;0
0;5.10;0
0;5.12;0
0;5.14;0
2;5.16;1
2;5.18;1
2;5.20;1
2;5.22;1
2;5.24;1
2;5.26;0
2;5.28;0
2;5.30;0
2;5.32;0
2;5.34;0
2;5.36;0
2;5.38;0
2;5.40;0
2;5.42;0
2;5.44;0
2;5.46;0
2;5.48;0
2;5.50;0
2;5.52;0
2;5.54;0
2;5.56;0
2;5.58;0
2;5.60;0
2;5.62;0
2;5.64;1
2;5.66;1
2;5.68;1
2;5.70;1
2;5.72;1
2;5.74;1
2;5.76;1
2;5.78;1
2;5.80;0
2;5.82;0
2;5.84;0
2;5.86;0
2;5.88;0
2;5.90;0
2;5.92;0
2;5.94;0
2;5.96;0
2;5.98;0
2;6.00;1
2;6.02;1
2;6.04;1
2;6.06;1
2;6.08;1
2;6.10;1
2;6.12;1
2;6.14;1
2;6.16;1
2;6.18;1
2;6.20;1
2;6.22;1
2;6.24;1
2;6.26;1
2;6.28;1
2;6.30;1
2;6.32;1
2;6.34;1
2;6.36;1
2;6.38;1
2;6.40;1
2;6.42;1
2;6.44;1
2;6.46;1
2;6.48;1
2;6.50;1
2;6.52;1
2;6.54;1
2;6.56;1
2;6.58;1
2;6.60;1
2;6.62;1
2;6.64;1
2;6.66;1
2;6.68;1
2;6.70;1
2;6.72;1
2;6.74;1
2;6.76;1
2;6.78;1
2;6.80;1
2;6.82;1
2;6.84;1
2;6.86;1
2;6.88;1
2;6.90;1
2;6.92;1
2;6.94;1
2;6.96;1
2;6.98;1
2;7.00;1
2;7.02;1
2;7.04;1
2;7.06;1
2;7.08;1
2;7.10;1
2;7.12;1
2;7.14;1
0;7.16;1
0;7.18;1
0;7.20;1
0;7.22;1
0;7.24;1
0;7.26;1
0;7.28;1
0;7.30;1
0;7.32;1
0;7.34;1
0;7.36;1
0;7.38;1
0;7.40;1
0;7.42;1
0;7.44;1
0;7.46;1
0;7.48;1
2;7.50;1
2;7.52;1
2;7.54;1
2;7.56;1
2;7.58;1
2;7.60;1
2;7.62;1
2;7.64;1
2;7.66;1
2;7.68;1
2;7.70;1
2;7.72;1
2;7.74;1
2;7.76;0
2;7.78;1
